Latitude (decimal degrees):	48.582
Longitude (decimal degrees):	7.769
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	37

year		month		H(i_opt)_m
2005		Jan		56.59
2005		Feb		49.78
2005		Mar		118.48
2005		Apr		134.98
2005		May		152.85
2005		Jun		195.14
2005		Jul		152.53
2005		Aug		166.07
2005		Sep		147.16
2005		Oct		105.28
2005		Nov		62.77
2005		Dec		40.72
2006		Jan		57.69
2006		Feb		47.44
2006		Mar		93.96
2006		Apr		122.99
2006		May		143.69
2006		Jun		194.53
2006		Jul		213.38
2006		Aug		127.56
2006		Sep		135.89
2006		Oct		104.97
2006		Nov		64.13
2006		Dec		59.57
2007		Jan		41.33
2007		Feb		71.54
2007		Mar		122.03
2007		Apr		220.36
2007		May		155.45
2007		Jun		161.72
2007		Jul		148.74
2007		Aug		159.34
2007		Sep		134.63
2007		Oct		117.28
2007		Nov		50.01
2007		Dec		42.92
2008		Jan		54.91
2008		Feb		103.69
2008		Mar		96.65
2008		Apr		113.56
2008		May		187.01
2008		Jun		164.38
2008		Jul		161.74
2008		Aug		152.83
2008		Sep		119.83
2008		Oct		86.49
2008		Nov		55.63
2008		Dec		38.22
2009		Jan		68.47
2009		Feb		57.2
2009		Mar		99.03
2009		Apr		165.93
2009		May		178.76
2009		Jun		182.17
2009		Jul		165.71
2009		Aug		182.72
2009		Sep		153.49
2009		Oct		87.08
2009		Nov		55.3
2009		Dec		42.04
2010		Jan		37.44
2010		Feb		56.39
2010		Mar		125.93
2010		Apr		170.72
2010		May		118.24
2010		Jun		177.57
2010		Jul		189.17
2010		Aug		141.42
2010		Sep		138.28
2010		Oct		97.87
2010		Nov		45.11
2010		Dec		24.31
2011		Jan		49.82
2011		Feb		64.12
2011		Mar		152.98
2011		Apr		199.09
2011		May		198.88
2011		Jun		152.68
2011		Jul		157.05
2011		Aug		172.21
2011		Sep		161.18
2011		Oct		105.12
2011		Nov		55.72
2011		Dec		33.66
2012		Jan		49.27
2012		Feb		100.58
2012		Mar		158.63
2012		Apr		132.52
2012		May		186.33
2012		Jun		157.0
2012		Jul		160.75
2012		Aug		179.3
2012		Sep		149.49
2012		Oct		81.55
2012		Nov		53.83
2012		Dec		41.03
2013		Jan		32.87
2013		Feb		43.98
2013		Mar		86.49
2013		Apr		118.47
2013		May		114.66
2013		Jun		171.62
2013		Jul		194.74
2013		Aug		171.73
2013		Sep		124.4
2013		Oct		80.7
2013		Nov		41.52
2013		Dec		50.96
2014		Jan		55.43
2014		Feb		71.76
2014		Mar		165.15
2014		Apr		149.77
2014		May		171.1
2014		Jun		203.54
2014		Jul		153.66
2014		Aug		146.88
2014		Sep		142.4
2014		Oct		96.23
2014		Nov		49.68
2014		Dec		32.44
2015		Jan		45.12
2015		Feb		68.4
2015		Mar		147.66
2015		Apr		167.53
2015		May		159.98
2015		Jun		167.8
2015		Jul		194.41
2015		Aug		181.3
2015		Sep		134.49
2015		Oct		85.07
2015		Nov		58.11
2015		Dec		73.65
2016		Jan		44.2
2016		Feb		45.15
2016		Mar		80.28
2016		Apr		116.87
2016		May		144.88
2016		Jun		119.83
2016		Jul		163.3
2016		Aug		168.56
2016		Sep		142.39
2016		Oct		73.52
2016		Nov		53.45
2016		Dec		54.01

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021
