Latitude (decimal degrees):	43.455
Longitude (decimal degrees):	5.471
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	38

year		month		H(i_opt)_m
2005		Jan		129.35
2005		Feb		143.45
2005		Mar		183.55
2005		Apr		176.44
2005		May		212.16
2005		Jun		218.59
2005		Jul		226.39
2005		Aug		217.28
2005		Sep		159.79
2005		Oct		135.4
2005		Nov		113.88
2005		Dec		122.42
2006		Jan		111.91
2006		Feb		118.18
2006		Mar		163.13
2006		Apr		203.55
2006		May		206.53
2006		Jun		209.76
2006		Jul		222.34
2006		Aug		221.0
2006		Sep		167.55
2006		Oct		159.56
2006		Nov		108.88
2006		Dec		106.86
2007		Jan		126.03
2007		Feb		110.43
2007		Mar		169.87
2007		Apr		173.07
2007		May		188.37
2007		Jun		199.33
2007		Jul		234.08
2007		Aug		212.63
2007		Sep		203.21
2007		Oct		154.94
2007		Nov		139.41
2007		Dec		119.51
2008		Jan		105.26
2008		Feb		142.73
2008		Mar		168.73
2008		Apr		175.89
2008		May		168.86
2008		Jun		197.63
2008		Jul		227.28
2008		Aug		213.67
2008		Sep		160.47
2008		Oct		125.74
2008		Nov		101.31
2008		Dec		93.79
2009		Jan		110.11
2009		Feb		127.72
2009		Mar		175.17
2009		Apr		156.6
2009		May		203.1
2009		Jun		218.05
2009		Jul		233.44
2009		Aug		218.97
2009		Sep		181.1
2009		Oct		150.57
2009		Nov		115.45
2009		Dec		96.38
2010		Jan		102.24
2010		Feb		100.79
2010		Mar		155.32
2010		Apr		175.12
2010		May		178.91
2010		Jun		197.89
2010		Jul		235.9
2010		Aug		221.73
2010		Sep		194.24
2010		Oct		144.93
2010		Nov		109.23
2010		Dec		87.69
2011		Jan		107.76
2011		Feb		122.46
2011		Mar		153.11
2011		Apr		202.19
2011		May		223.29
2011		Jun		193.93
2011		Jul		211.01
2011		Aug		227.0
2011		Sep		188.1
2011		Oct		160.02
2011		Nov		103.25
2011		Dec		123.77
2012		Jan		128.06
2012		Feb		153.08
2012		Mar		188.07
2012		Apr		167.57
2012		May		202.45
2012		Jun		211.93
2012		Jul		226.46
2012		Aug		215.38
2012		Sep		169.24
2012		Oct		140.66
2012		Nov		98.13
2012		Dec		111.38
2013		Jan		119.68
2013		Feb		129.86
2013		Mar		142.71
2013		Apr		148.18
2013		May		188.94
2013		Jun		213.36
2013		Jul		228.19
2013		Aug		223.07
2013		Sep		185.6
2013		Oct		127.08
2013		Nov		97.56
2013		Dec		103.3
2014		Jan		89.11
2014		Feb		99.68
2014		Mar		186.87
2014		Apr		180.15
2014		May		208.81
2014		Jun		203.23
2014		Jul		208.92
2014		Aug		220.29
2014		Sep		174.72
2014		Oct		155.9
2014		Nov		81.74
2014		Dec		106.57
2015		Jan		122.21
2015		Feb		119.34
2015		Mar		147.36
2015		Apr		195.37
2015		May		216.67
2015		Jun		211.86
2015		Jul		236.15
2015		Aug		220.34
2015		Sep		180.65
2015		Oct		134.77
2015		Nov		141.35
2015		Dec		74.56
2016		Jan		90.53
2016		Feb		104.65
2016		Mar		143.89
2016		Apr		149.87
2016		May		179.48
2016		Jun		186.02
2016		Jul		207.69
2016		Aug		216.69
2016		Sep		170.8
2016		Oct		140.47
2016		Nov		99.18
2016		Dec		125.69

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021
